,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance,SYMBOL
1,ENSG00000036448,586.4368258,1.194403827,0.449167313,2.659151258,0.007833778,0.042144819,Upregulated,MYOM2
2,ENSG00000040608,18.39684035,1.079714813,0.29096173,3.710848207,0.000206566,0.003499041,Upregulated,RTN4R
3,ENSG00000078098,3.47458375,1.382428423,0.424119403,3.259526479,0.001115984,0.010937269,Upregulated,FAP
4,ENSG00000099795,381.3229443,1.020782828,0.194216821,5.255892976,1.47E-07,2.25E-05,Upregulated,NDUFB7
5,ENSG00000102802,3.617230113,1.232126509,0.38225378,3.223320669,0.001267136,0.011906799,Upregulated,MEDAG
6,ENSG00000103067,1.960855649,1.088003954,0.395541541,2.750669251,0.005947366,0.035028113,Upregulated,ESRP2
7,ENSG00000115138,20.45657378,1.261527811,0.259882361,4.854226382,1.21E-06,9.95E-05,Upregulated,POMC
8,ENSG00000126251,2.153354119,1.370101644,0.457177882,2.996867737,0.00272769,0.020517164,Upregulated,GPR42
9,ENSG00000130656,4.921747134,1.711955384,0.519163409,3.297527049,0.000975403,0.009952257,Upregulated,HBZ
10,ENSG00000134871,3.142309847,1.372574058,0.48662296,2.820610967,0.004793229,0.030189963,Upregulated,COL4A2
11,ENSG00000138769,3.218922186,1.201994252,0.348881012,3.445284237,0.000570459,0.006983606,Upregulated,CDKL2
12,ENSG00000141255,2.855640511,1.911414449,0.619893533,3.083456023,0.002046113,0.016696395,Upregulated,SPATA22
13,ENSG00000142694,61.95974221,1.109311088,0.251333133,4.413708108,1.02E-05,0.000438869,Upregulated,EVA1B
14,ENSG00000143552,5.561210137,1.515082308,0.410925605,3.68699903,0.000226914,0.003695194,Upregulated,NUP210L
15,ENSG00000152082,368.1650156,1.125268625,0.184236722,6.107732563,1.01E-09,7.82E-07,Upregulated,MZT2B
17,ENSG00000157335,5.478828139,1.260954678,0.39520635,3.190623523,0.001419661,0.012937897,Upregulated,CLEC18C
21,ENSG00000163827,6.323740377,1.067014305,0.333559342,3.198873997,0.001379655,0.012712566,Upregulated,LRRC2
22,ENSG00000164123,2.598429119,1.435414694,0.475872956,3.016382158,0.002558106,0.019655019,Upregulated,SPMIP2
23,ENSG00000164379,3.885995584,2.607670251,0.617636982,4.222011192,2.42E-05,0.000815334,Upregulated,FOXQ1
24,ENSG00000167680,19.31042393,1.623682884,0.324156519,5.008947188,5.47E-07,6.14E-05,Upregulated,SEMA6B
26,ENSG00000169627,12.18837956,2.211017174,0.576745051,3.833612741,0.000126275,0.00253041,Upregulated,BOLA2B
27,ENSG00000169704,126.7622068,1.046042251,0.235233539,4.446824451,8.71E-06,0.000402652,Upregulated,GP9
28,ENSG00000170128,9.32723159,1.50993535,0.370069315,4.080141986,4.50E-05,0.001259415,Upregulated,GPR25
29,ENSG00000170180,35.72199748,1.409513122,0.305509838,4.613642332,3.96E-06,0.000235155,Upregulated,GYPA
30,ENSG00000170667,5.762787756,1.298406948,0.319178514,4.067964766,4.74E-05,0.001306034,Upregulated,RASA4B
31,ENSG00000171222,189.9704145,1.037894841,0.254207218,4.082869281,4.45E-05,0.001249749,Upregulated,SCAND1
32,ENSG00000172179,2.731539812,1.095984264,0.387238755,2.830254588,0.004651098,0.029576048,Upregulated,PRL
33,ENSG00000172889,30.21711417,1.360583863,0.305593972,4.452260149,8.50E-06,0.00039607,Upregulated,EGFL7
34,ENSG00000174276,49.35944544,1.134655945,0.237447212,4.778560819,1.77E-06,0.000130603,Upregulated,ZNHIT2
35,ENSG00000175602,105.1497807,1.200688072,0.212416823,5.652509329,1.58E-08,5.24E-06,Upregulated,CCDC85B
37,ENSG00000184986,6.588533773,1.866919337,0.379507893,4.919316231,8.68E-07,8.45E-05,Upregulated,TMEM121
38,ENSG00000185198,9.669298373,1.049035452,0.335269467,3.128932262,0.001754427,0.014986992,Upregulated,PRSS57
39,ENSG00000185883,75.71352401,1.452562836,0.337241851,4.307184385,1.65E-05,0.00063877,Upregulated,ATP6V0C
40,ENSG00000197540,509.3820273,1.021668565,0.239341277,4.268668489,1.97E-05,0.000703012,Upregulated,GZMM
43,ENSG00000206177,656.5235684,1.001040898,0.294307477,3.401343754,0.000670554,0.007751788,Upregulated,HBM
45,ENSG00000240972,127.3034808,1.78959176,0.282568229,6.333308487,2.40E-10,3.03E-07,Upregulated,MIF
46,ENSG00000242114,14.19580133,1.12610441,0.224663667,5.012401083,5.38E-07,6.13E-05,Upregulated,MTFP1
47,ENSG00000243449,15.59701016,1.516705893,0.262763224,5.772139147,7.83E-09,3.20E-06,Upregulated,NICOL1
48,ENSG00000262814,24.1981112,2.236210641,0.347779708,6.429962959,1.28E-10,1.78E-07,Upregulated,MRPL12
51,ENSG00000271303,3.188295719,1.335839813,0.470243668,2.84073961,0.004500905,0.028923157,Upregulated,SRXN1
